label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
stand,524,432,69,197,stand (47).jpg,1071,629
stand,582,414,83,215,stand (47).jpg,1071,629
stand,647,416,70,213,stand (47).jpg,1071,629
stand,723,403,79,226,stand (47).jpg,1071,629
stand,802,414,94,215,stand (47).jpg,1071,629
stand,898,414,72,215,stand (47).jpg,1071,629
stand,0,104,150,475,stand (48).jpg,1079,579
stand,150,80,189,495,stand (48).jpg,1079,579
stand,345,62,160,488,stand (48).jpg,1079,579
stand,501,62,169,517,stand (48).jpg,1079,579
stand,672,55,133,488,stand (48).jpg,1079,579
stand,796,62,136,513,stand (48).jpg,1079,579
stand,896,82,120,497,stand (48).jpg,1079,579
stand,994,82,84,497,stand (48).jpg,1079,579
stand,418,301,288,777,stand (49).jpg,1080,1350
stand,762,1128,369,810,stand (5).jpg,2148,3051
stand,276,113,269,555,stand (50).png,768,768
stand,1147,19,1491,3220,stand (51).png,3024,4032
stand,496,18,1338,3658,stand (52).png,2160,3840
stand,550,182,908,2943,stand (53).png,2268,4032
stand,1362,115,898,3917,stand (53).png,2268,4032
stand,280,318,118,427,stand (54).png,750,1000
stand,562,197,188,803,stand (54).png,750,1000
stand,22,297,318,426,stand (55).png,459,755
stand,1579,899,1205,3024,stand (56).png,3468,4624
sit,724,1775,537,1172,stand (56).png,3468,4624
stand,492,153,908,2799,stand (57).png,2268,4032
stand,1495,105,755,3812,stand (57).png,2268,4032
stand,1606,616,602,1942,stand (58).png,4032,3024
stand,266,1691,724,1290,stand (58).png,4032,3024
stand,1686,1038,455,938,stand (59).png,4000,3000
stand,198,968,344,926,stand (6).jpg,956,2505
stand,1224,87,1212,4007,stand (60).png,3456,4608
stand,434,129,114,176,stand (61).png,1273,666
stand,141,247,230,518,stand (62).png,702,892
stand,397,258,207,478,stand (62).png,702,892
stand,276,661,99,151,stand (63).png,733,908
stand,381,680,116,129,stand (63).png,733,908
stand,393,297,550,1200,stand (64).PNG,1242,1548
stand,288,756,362,721,stand (65).PNG,971,1662
stand,468,142,163,396,stand (66).png,1359,673
stand,583,187,176,453,stand (67).png,1371,743
stand,521,101,81,363,stand (68).png,1297,757
stand,600,55,164,470,stand (68).png,1297,757
stand,215,223,188,372,stand (68).png,1297,757
stand,387,126,225,537,stand (69).png,1373,757
stand,1080,117,157,292,stand (69).png,1373,757
stand,696,1056,537,1465,stand (7).jpg,2160,3840
stand,476,256,67,335,stand (70).png,1361,747
stand,552,128,69,243,stand (70).png,1361,747
stand,596,177,102,289,stand (71).png,1317,775
stand,726,256,93,303,stand (72).png,1311,769
stand,485,139,115,276,stand (72).png,1311,769
stand,454,276,93,296,stand (72).png,1311,769
stand,377,183,141,349,stand (72).png,1311,769
stand,337,336,82,298,stand (72).png,1311,769
stand,368,265,221,426,stand (73).png,1295,753
stand,390,237,168,351,stand (74).png,1261,759
stand,403,252,161,410,stand (75).png,1621,663
stand,747,252,145,411,stand (75).png,1621,663
stand,903,203,238,460,stand (75).png,1621,663
stand,1400,285,153,378,stand (75).png,1621,663
stand,277,233,118,364,stand (75).png,1621,663
stand,769,419,855,2830,stand (8).jpg,2160,3840
stand,670,921,421,1125,stand (9).jpg,2160,2539
stand,50,987,283,1035,stand (9).jpg,2160,2539
stand,321,1191,241,939,stand (9).jpg,2160,2539
